HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000039,Butyric acid,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,C4H8O2,88.1051,88.0524295
HMDB0000042,Acetic acid,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,C2H4O2,60.052,60.021129372
HMDB0000043,Betaine,C[N+](C)(C)CC(O)=O,KWIUHFFTVRNATP-UHFFFAOYSA-O,C5H12NO2,118.1543,118.086803633
HMDB0000044,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C6H8O6,176.1241,176.032087988
HMDB0000045,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,UDMBCSSLTHHNCD-KQYNXXCUSA-N,C10H14N5O7P,347.2212,347.063084339
HMDB0000048,Melibiose,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,DLRVVLDZNNYCBX-CQHUIXDMSA-N,C12H22O11,342.2965,342.116211546
HMDB0000050,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C10H13N5O4,267.2413,267.096753929
HMDB0000051,Ammonia,N,QGZKDVFQNNGYKY-UHFFFAOYSA-N,H3N,17.0305,17.026549101
HMDB0000052,Argininosuccinic acid,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,KDZOASGQNOPSCU-WDSKDSINSA-N,C10H18N4O6,290.2731,290.122634328
HMDB0000053,Androstenedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,AEMFNILZOJDQLW-QAGGRKNESA-N,C19H26O2,286.4085,286.193280076
HMDB0000054,Bilirubin,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,BPYKTIZUTYGOLE-IFADSCNNSA-N,C33H36N4O6,584.6621,584.263484904
HMDB0000056,beta-Alanine,NCCC(O)=O,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C3H7NO2,89.0932,89.047678473
HMDB0000058,Cyclic AMP,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,IVOMOUWHDPKRLL-KQYNXXCUSA-N,C10H12N5O6P,329.2059,329.052519653
HMDB0000060,Acetoacetic acid,CC(=O)CC(O)=O,WDJHALXBUFZDSR-UHFFFAOYSA-N,C4H6O3,102.0886,102.031694058
HMDB0000062,L-Carnitine,C[N+](C)(C)C[C@H](O)CC([O-])=O,PHIQHXFUZVPYII-ZCFIWIBFSA-N,C7H15NO3,161.1989,161.105193351
HMDB0000063,Cortisol,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,JYGXADMDTFJGBT-VWUMJDOOSA-N,C21H30O5,362.4599,362.20932407
HMDB0000064,Creatine,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,C4H9N3O2,131.1332,131.069476547
HMDB0000067,Cholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,C27H46O,386.6535,386.354866094
HMDB0000068,Epinephrine,CNC[C@H](O)C1=CC(O)=C(O)C=C1,UCTWMZQNUQWSLP-VIFPVBQESA-N,C9H13NO3,183.2044,183.089543287
HMDB0000070,Pipecolic acid,OC(=O)C1CCCCN1,HXEACLLIILLPRG-UHFFFAOYSA-N,C6H11NO2,129.157,129.078978601
HMDB0000071,Deoxyinosine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,VGONTNSXDCQUGY-RRKCRQDMSA-N,C10H12N4O4,252.23,252.085854882
HMDB0000072,cis-Aconitic acid,OC(=O)C\C(=C\C(O)=O)C(O)=O,GTZCVFVGUGFEME-IWQZZHSRSA-N,C6H6O6,174.1082,174.016437924
HMDB0000073,Dopamine,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C8H11NO2,153.1784,153.078978601
HMDB0000076,Dihydrouracil,O=C1CCNC(=O)N1,OIVLITBTBDPEFK-UHFFFAOYSA-N,C4H6N2O2,114.1026,114.042927446
HMDB0000077,Dehydroepiandrosterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,FMGSKLZLMKYGDP-USOAJAOKSA-N,C19H28O2,288.4244,288.20893014
HMDB0000078,Cysteinylglycine,N[C@@H](CS)C(=O)NCC(O)=O,ZUKPVRWZDMRIEO-VKHMYHEASA-N,C5H10N2O3S,178.21,178.041212886
HMDB0000079,Dihydrothymine,C[C@H]1CNC(=O)NC1=O,NBAKTGXDIBVZOO-VKHMYHEASA-N,C5H8N2O2,128.131,128.058577506
HMDB0000085,Deoxyguanosine,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,YKBGVTZYEHREMT-KVQBGUIXSA-N,C10H13N5O4,267.2413,267.096753929
HMDB0000086,Glycerophosphocholine,C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO,SUHOQUVVVLNYQR-MRVPVSSYSA-N,C8H20NO6P,257.223,257.102824366
HMDB0000087,Dimethylamine,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,C2H7N,45.0837,45.057849229
HMDB0000089,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,UHDGCWIWMRVCDJ-XVFCMESISA-N,C9H13N3O5,243.2166,243.085520541
HMDB0000092,Dimethylglycine,CN(C)CC(O)=O,FFDGPVCHZBVARC-UHFFFAOYSA-N,C4H9NO2,103.1198,103.063328537
HMDB0000094,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C6H8O7,192.1235,192.02700261
HMDB0000097,Choline,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C5H14NO,104.1708,104.107539075
HMDB0000098,D-Xylose,O[C@@H]1COC(O)[C@H](O)[C@H]1O,SRBFZHDQGSBBOR-IOVATXLUSA-N,C5H10O5,150.1299,150.05282343
HMDB0000099,L-Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,ILRYLPWNYFXEMH-WHFBIAKZSA-N,C7H14N2O4S,222.262,222.067427636
HMDB0000101,Deoxyadenosine,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,C10H13N5O3,251.2419,251.101839307
HMDB0000107,Galactitol,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,FBPFZTCFMRRESA-GUCUJZIJSA-N,C6H14O6,182.1718,182.07903818
HMDB0000108,Ethanol,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,C2H6O,46.0684,46.041864814
HMDB0000112,gamma-Aminobutyric acid,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,C4H9NO2,103.1198,103.063328537
HMDB0000114,Glycerylphosphorylethanolamine,NCCOP(O)(=O)OCC(O)CO,JZNWSCPGTDBMEW-UHFFFAOYSA-N,C5H14NO6P,215.1415,215.055873697
HMDB0000115,Glycolic acid,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,C2H4O3,76.0514,76.016043994
HMDB0000118,Homovanillic acid,COC1=CC(CC(O)=O)=CC=C1O,QRMZSPFSDQBLIX-UHFFFAOYSA-N,C9H10O4,182.1733,182.057908808
HMDB0000119,Glyoxylic acid,OC(=O)C=O,HHLFWLYXYJOTON-UHFFFAOYSA-N,C2H2O3,74.0355,74.00039393
HMDB0000121,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,C19H19N7O6,441.3975,441.139681375
HMDB0000122,D-Glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-VFUOTHLCSA-N,C6H12O6,180.1559,180.063388116
HMDB0000123,Glycine,NCC(O)=O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2,75.0666,75.032028409
HMDB0000124,Fructose 6-phosphate,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GSXOAOHZAIYLCY-HSUXUTPPSA-N,C6H13O9P,260.1358,260.029718526
HMDB0000125,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,RWSXRVCMGQZWBV-WDSKDSINSA-N,C10H17N3O6S,307.323,307.083805981
HMDB0000126,Glycerol 3-phosphate,OC[C@@H](O)COP(O)(O)=O,AWUCVROLDVIAJX-GSVOUGTGSA-N,C3H9O6P,172.0737,172.013674532
HMDB0000127,D-Glucuronic acid,O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,AEMOLEFTQBMNLQ-WAXACMCWSA-N,C6H10O7,194.1394,194.042652674
HMDB0000128,Guanidoacetic acid,NC(=N)NCC(O)=O,BPMFZUMJYQTVII-UHFFFAOYSA-N,C3H7N3O2,117.1066,117.053826483
HMDB0000130,Homogentisic acid,OC(=O)CC1=C(O)C=CC(O)=C1,IGMNYECMUMZDDF-UHFFFAOYSA-N,C8H8O4,168.1467,168.042258744
HMDB0000131,Glycerol,OCC(O)CO,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C3H8O3,92.0938,92.047344122
HMDB0000132,Guanine,NC1=NC(=O)C2=C(N1)N=CN2,UYTPUPDQBNUYGX-UHFFFAOYSA-N,C5H5N5O,151.1261,151.049409807
HMDB0000133,Guanosine,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,NYHBQMYGNKIUIF-UUOKFMHZSA-N,C10H13N5O5,283.2407,283.091668551
HMDB0000134,Fumaric acid,OC(=O)\C=C\C(O)=O,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C4H4O4,116.0722,116.010958616
HMDB0000138,Glycocholic acid,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,RFDAIACWWDREDC-FRVQLJSFSA-N,C26H43NO6,465.6227,465.309038113
HMDB0000139,Glyceric acid,OC[C@@H](O)C(O)=O,RBNPOMFGQQGHHO-UWTATZPHSA-N,C3H6O4,106.0773,106.02660868
HMDB0000142,Formic acid,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,CH2O2,46.0254,46.005479308
HMDB0000143,D-Galactose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,WQZGKKKJIJFFOK-PHYPRBDBSA-N,C6H12O6,180.1559,180.063388116
HMDB0000145,Estrone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,DNXHEGUUPJUMQT-CBZIJGRNSA-N,C18H22O2,270.3661,270.161979948
HMDB0000148,Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O,WHUUTDBJXJRKMK-VKHMYHEASA-N,C5H9NO4,147.1293,147.053157781
HMDB0000149,Ethanolamine,NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,C2H7NO,61.0831,61.052763851
HMDB0000150,Gluconolactone,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,PHOQVHQSTUBQQK-SQOUGZDYSA-N,C6H10O6,178.14,178.047738052
HMDB0000151,Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C18H24O2,272.382,272.177630012
HMDB0000152,Gentisic acid,OC(=O)C1=C(O)C=CC(O)=C1,WXTMDXOMEHJXQO-UHFFFAOYSA-N,C7H6O4,154.121,154.026608673
HMDB0000153,Estriol,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,PROQIPRRNZUXQM-ZXXIGWHRSA-N,C18H24O3,288.3814,288.172544634
HMDB0000156,Malic acid,O[C@@H](CC(O)=O)C(O)=O,BJEPYKJPYRNKOW-REOHCLBHSA-N,C4H6O5,134.0874,134.021523302
HMDB0000157,Hypoxanthine,OC1=NC=NC2=C1NC=N2,FDGQSTZJBFJUBT-UHFFFAOYSA-N,C5H4N4O,136.1115,136.03851077
HMDB0000158,L-Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,OUYCCCASQSFEME-QMMMGPOBSA-N,C9H11NO3,181.1885,181.073893223
HMDB0000159,Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O,COLNVLDHVKWLRT-QMMMGPOBSA-N,C9H11NO2,165.1891,165.078978601
HMDB0000161,L-Alanine,C[C@H](N)C(O)=O,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C3H7NO2,89.0932,89.047678473
HMDB0000162,Proline,OC(=O)[C@@H]1CCCN1,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C5H9NO2,115.1305,115.063328537
HMDB0000163,D-Maltose,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,GUBGYTABKSRVRQ-DKBJLJRDSA-N,C12H22O11,342.2965,342.116211546
HMDB0000164,Methylamine,CN,BAVYZALUXZFZLV-UHFFFAOYSA-N,CH5N,31.0571,31.042199165
HMDB0000167,L-Threonine,C[C@@H](O)[C@H](N)C(O)=O,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C4H9NO3,119.1192,119.058243159
HMDB0000168,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O,DCXYFEDJOCDNAF-REOHCLBHSA-N,C4H8N2O3,132.1179,132.053492132
HMDB0000169,D-Mannose,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-PQMKYFCFSA-N,C6H12O6,180.1559,180.063388116
HMDB0000172,Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2,131.1729,131.094628665
HMDB0000174,L-Fucose,C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,SHZGCJCMOBCMKK-SXUWKVJYSA-N,C6H12O5,164.1565,164.068473494
HMDB0000175,Inosinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,GRSZFWQUAKGDAV-KQYNXXCUSA-N,C10H13N4O8P,348.206,348.047099924
HMDB0000176,Maleic acid,OC(=O)\C=C/C(O)=O,VZCYOOQTPOCHFL-UPHRSURJSA-N,C4H4O4,116.0722,116.010958616
HMDB0000177,Histidine,N[C@@H](CC1=CNC=N1)C(O)=O,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2,155.1546,155.069476547
HMDB0000181,DOPA,N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O,WTDRDQBEARUVNC-LURJTMIESA-N,C9H11NO4,197.1879,197.068807845
HMDB0000182,Lysine,NCCCC[C@H](N)C(O)=O,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2,146.1876,146.105527702
HMDB0000186,Alpha-Lactose,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,GUBGYTABKSRVRQ-XLOQQCSPSA-N,C12H22O11,342.2965,342.116211546
HMDB0000187,Serine,N[C@@H](CO)C(O)=O,MTCFGRXMJLQNBG-REOHCLBHSA-N,C3H7NO3,105.0926,105.042593095
HMDB0000190,Lactic acid,C[C@H](O)C(O)=O,JVTAAEKCZFNVCJ-REOHCLBHSA-N,C3H6O3,90.0779,90.031694058
HMDB0000191,L-Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4,133.1027,133.037507717
HMDB0000192,L-Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,LEVWYRKDKASIDU-IMJSIDKUSA-N,C6H12N2O4S2,240.3,240.023848262
HMDB0000193,Isocitric acid,OC(C(CC(O)=O)C(O)=O)C(O)=O,ODBLHEXUDAPZAU-UHFFFAOYSA-N,C6H8O7,192.1235,192.02700261
HMDB0000194,Anserine,CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O,MYYIAHXIVFADCU-QMMMGPOBSA-N,C10H16N4O3,240.259,240.122240398
HMDB0000195,Inosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C10H12N4O5,268.2261,268.080769514
HMDB0000197,Indoleacetic acid,OC(=O)CC1=CNC2=CC=CC=C12,SEOVTRFCIGRIMH-UHFFFAOYSA-N,C10H9NO2,175.184,175.063328537
HMDB0000201,L-Acetylcarnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,RDHQFKQIGNGIED-MRVPVSSYSA-N,C9H17NO4,203.238,203.115758031
HMDB0000202,Methylmalonic acid,CC(C(O)=O)C(O)=O,ZIYVHBGGAOATLY-UHFFFAOYSA-N,C4H6O4,118.088,118.02660868
HMDB0000205,Phenylpyruvic acid,OC(=O)C(=O)CC1=CC=CC=C1,BTNMPGBKDVTSJY-UHFFFAOYSA-N,C9H8O3,164.158,164.047344122
HMDB0000206,N6-Acetyl-L-lysine,CC(=O)NCCCC[C@H](N)C(O)=O,DTERQYGMUDWYAZ-ZETCQYMHSA-N,C8H16N2O3,188.2242,188.116092388
HMDB0000207,Oleic acid,CCCCCCCC\C=C/CCCCCCCC(O)=O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,C18H34O2,282.4614,282.255880332
HMDB0000208,Oxoglutaric acid,OC(=O)CCC(=O)C(O)=O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,C5H6O5,146.0981,146.021523302
HMDB0000209,Phenylacetic acid,OC(=O)CC1=CC=CC=C1,WLJVXDMOQOGPHL-UHFFFAOYSA-N,C8H8O2,136.1479,136.0524295
HMDB0000210,Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,GHOKWGTUZJEAQD-ZETCQYMHSA-N,C9H17NO5,219.235,219.110672659
HMDB0000211,myo-Inositol,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,CDAISMWEOUEBRE-GPIVLXJGSA-N,C6H12O6,180.1559,180.063388116
HMDB0000212,N-Acetylgalactosamine,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,OVRNDRQMDRJTHS-CBQIKETKSA-N,C8H15NO6,221.2078,221.089937217
HMDB0000214,Ornithine,NCCC[C@H](N)C(O)=O,AHLPHDHHMVZTML-BYPYZUCNSA-N,C5H12N2O2,132.161,132.089877638
HMDB0000215,N-Acetyl-D-glucosamine,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,OVRNDRQMDRJTHS-RTRLPJTCSA-N,C8H15NO6,221.2078,221.089937217
HMDB0000216,Norepinephrine,NC[C@H](O)C1=CC(O)=C(O)C=C1,SFLSHLFXELFNJZ-QMMMGPOBSA-N,C8H11NO3,169.1778,169.073893223
HMDB0000217,NADP,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,XJLXINKUBYWONI-NNYOXOHSSA-N,C21H28N7O17P3,743.405,743.075452041
HMDB0000220,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,C16H32O2,256.4241,256.240230268
HMDB0000221,NADPH,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,ACFIXJIJDZMPPO-NNYOXOHSSA-N,C21H30N7O17P3,745.4209,745.091102105
HMDB0000222,Palmitoylcarnitine,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,XOMRRQXKHMYMOC-OAQYLSRUSA-O,C23H46NO4,400.623,400.342135385
HMDB0000223,Oxalacetic acid,OC(=O)CC(=O)C(O)=O,KHPXUQMNIQBQEV-UHFFFAOYSA-N,C4H4O5,132.0716,132.005873238
HMDB0000224,O-Phosphoethanolamine,NCCOP(O)(O)=O,SUHOOTKUPISOBE-UHFFFAOYSA-N,C2H8NO4P,141.063,141.019094261
HMDB0000225,Oxoadipic acid,OC(=O)CCCC(=O)C(O)=O,FGSBNBBHOZHUBO-UHFFFAOYSA-N,C6H8O5,160.1247,160.037173366
HMDB0000226,Orotic acid,OC(=O)C1=CC(=O)NC(=O)N1,PXQPEWDEAKTCGB-UHFFFAOYSA-N,C5H4N2O4,156.0963,156.017106626
HMDB0000227,Mevalonic acid,C[C@@](O)(CCO)CC(O)=O,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,C6H12O4,148.1571,148.073558872
HMDB0000228,Phenol,OC1=CC=CC=C1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C6H6O,94.1112,94.041864814
HMDB0000229,Nicotinamide ribotide,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,DAYLJWODMCOQEW-TURQNECASA-O,C11H16N2O8P,335.2271,335.06442701
HMDB0000230,N-Acetylneuraminic acid,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,SQVRNKJHWKZAKO-PFQGKNLYSA-N,C11H19NO9,309.2699,309.105981211
HMDB0000232,Quinolinic acid,OC(=O)C1=CC=CN=C1C(O)=O,GJAWHXHKYYXBSV-UHFFFAOYSA-N,C7H5NO4,167.1189,167.021857653
HMDB0000234,Testosterone,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C19H28O2,288.4244,288.20893014
HMDB0000235,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,JZRWCGZRTZMZEH-UHFFFAOYSA-N,C12H17N4OS,265.355,265.112306876
HMDB0000237,Propionic acid,CCC(O)=O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,C3H6O2,74.0785,74.036779436
HMDB0000239,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,LXNHXLLTXMVWPM-UHFFFAOYSA-N,C8H11NO3,169.1778,169.073893223
HMDB0000240,Sulfite,OS(O)=O,LSNNMFCWUKXFEE-UHFFFAOYSA-N,H2O3S,82.079,81.97246462
HMDB0000241,Protoporphyrin IX,CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O,KSFOVUSSGSKXFI-UJJXFSCMSA-N,C34H34N4O4,562.6582,562.258005596
HMDB0000243,Pyruvic acid,CC(=O)C(O)=O,LCTONWCANYUPML-UHFFFAOYSA-N,C3H4O3,88.0621,88.016043994
HMDB0000244,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,AUNGANRZJHBGPY-SCRDCRAPSA-N,C17H20N4O6,376.3639,376.138284392
HMDB0000245,Porphobilinogen,NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1,QSHWIQZFGQKFMA-UHFFFAOYSA-N,C10H14N2O4,226.2292,226.095356946
HMDB0000246,Tetrahydrofuran,C1CCOC1,WYURNTSHIVDZCO-UHFFFAOYSA-N,C4H8O,72.1057,72.057514878
HMDB0000247,Sorbitol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-JGWLITMVSA-N,C6H14O6,182.1718,182.07903818
HMDB0000248,Thyroxine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,XUIIKFGFIJCVMT-LBPRGKRZSA-N,C15H11I4NO4,776.87,776.686681525
HMDB0000250,Pyrophosphate,OP(O)(=O)OP(O)(O)=O,XPPKVPWEQAFLFU-UHFFFAOYSA-N,H4O7P2,177.9751,177.943225506
HMDB0000251,Taurine,NCCS(O)(=O)=O,XOAAWQZATWQOTB-UHFFFAOYSA-N,C2H7NO3S,125.147,125.014663785
HMDB0000252,Sphingosine,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO,WWUZIQQURGPMPG-KRWOKUGFSA-N,C18H37NO2,299.4919,299.282429433
HMDB0000253,Pregnenolone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,ORNBQBCIOKFOEO-QGVNFLHTSA-N,C21H32O2,316.4776,316.240230268
HMDB0000254,Succinic acid,OC(=O)CCC(O)=O,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C4H6O4,118.088,118.02660868
HMDB0000256,Squalene,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,YYGNTYWPHWGJRM-AAJYLUCBSA-N,C30H50,410.73,410.39125161
HMDB0000257,Thiosulfate,OS(S)(=O)=O,DHCDFWKWKRSZHF-UHFFFAOYSA-N,H2O3S2,114.144,113.94453531
HMDB0000258,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,CZMRCDWAGMRECN-UGDNZRGBSA-N,C12H22O11,342.2965,342.116211546
HMDB0000259,Serotonin,NCCC1=CNC2=C1C=C(O)C=C2,QZAYGJVTTNCVMB-UHFFFAOYSA-N,C10H12N2O,176.2151,176.094963016
HMDB0000262,Thymine,CC1=CNC(=O)NC1=O,RWQNBRDOKXIBIV-UHFFFAOYSA-N,C5H6N2O2,126.1133,126.042927446
HMDB0000263,Phosphoenolpyruvic acid,OC(=O)C(=C)OP(O)(O)=O,DTBNBXWJWCWCIK-UHFFFAOYSA-N,C3H5O6P,168.042,167.982374404
